CODE,SERVICE DESCRIPTION,,
99292,CPR-Resuscitation,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
190,Anesthesia for procedure on facial bones or skull,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
192,Anesthesia for surgery of facial bones or skull,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
210,Anesthesia for procedure on brain,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
211,Anesthesia for procedure to remove blood collection in brain,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
212,Anesthesia for procedure to remove fluid in brain,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
214,Anesthesia for procedure to create holes in skull including X-ray imaging,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
215,Anesthesia for procedure to repair skull or skull fracture,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
216,Anesthesia for procedure on blood vessel in brain,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
218,Anesthesia for procedure on brain patient in sitting position,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
220,Anesthesia for procedure to drain brain and spinal cord fluid,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
222,Anesthesia for procedure on nerve in brain,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
300,Anesthesia for procedure on esophagus and neck,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
320,"Anesthesia for procedure on esophagus and neck, age 1 year or older",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
450,Anesthesia for procedure on collar bone and shoulder blade,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
454,Anesthesia for biopsy of collar bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
470,Anesthesia for partial removal of rib,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
472,Anesthesia for partial removal of rib and chest wall repair,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
474,Anesthesia for partial removal of rib and chest wall reconstruction,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
520,Anesthesia for closed procedure in chest,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
524,Anesthesia for closed drainage of lung fluid,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
532,Anesthesia for central vein access,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
600,Anesthesia for procedure on upper spine and spinal cord,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
604,"Anesthesia for procedure on spine and spinal cord, patient in sitting position",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
620,Anesthesia for procedure on middle spine and spinal cord,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
626,Anesthesia for procedure on middle spine and spinal cord with 1 lung ventilation,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
630,Anesthesia for procedure on lower spine,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
632,Anesthesia for removal of nerves in lower spine,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
635,Anesthesia for spinal tap,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
640,Anesthesia for closed manipulation of spine,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
670,Anesthesia for procedure on spine and spinal cord,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
700,Anesthesia for procedure on upper front abdominal wall,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1112,Anesthesia for bone marrow aspiration and/or biopsy at pelvic bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1120,Anesthesia for procedure on pelvic bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1130,Anesthesia for application or revision of body cast,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1140,Anesthesia for amputation of leg including pelvic bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1150,Anesthesia for removal of pelvic bone tumor,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1160,Anesthesia for procedure on pubic bone or sacroiliac joint,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1170,Anesthesia for open procedure on pubic bone or sacroiliac joint,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1173,Anesthesia for open repair of pelvic fracture,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1180,Anesthesia for removal of external pelvic nerve,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1190,Anesthesia for removal of internal pelvic nerve,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1200,Anesthesia for closed procedure on hip joint,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1202,Anesthesia for procedure on hip joint using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1210,Anesthesia for open surgical procedure on hip joint,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1212,Anesthesia for open hip joint dislocation,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1214,Anesthesia for open total hip joint replacement,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1215,Anesthesia for open revision of total hip joint replacement,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1220,Anesthesia for closed procedure on upper two-thirds of thigh bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1230,Anesthesia for open procedure on upper two-thirds of thigh bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1232,Anesthesia for open amputation at upper two-thirds of thigh bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1234,Anesthesia for open removal of muscle or tissue at upper two-thirds of thigh bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1250,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of upper leg",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1260,Anesthesia for procedure on veins of upper leg,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1270,Anesthesia for procedure on arteries of upper leg,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1320,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and/or bursae of knee",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1340,Anesthesia for closed procedure on lower one-third of thigh bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1360,Anesthesia for open procedure on lower one-third of thigh bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1380,Anesthesia for closed procedure on knee joint,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1382,Anesthesia for diagnostic examination of knee joint using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1390,Anesthesia for closed procedure at kneecap and/or upper foreleg bones,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1392,Anesthesia for open procedure at kneecap and upper foreleg bones,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1400,Anesthesia for open or endoscopic procedure on knee including Popliteal Area,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1402,Anesthesia for open or endoscopic total knee joint replacement,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1404,Anesthesia for open or endoscopic procedure of dislocated knee,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1420,"Anesthesia for knee joint cast application, removal, or repair",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1462,"Anesthesia for closed procedure on lower leg, ankle, and foot",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1464,Anesthesia for procedure on ankle and/or foot using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1470,"Anesthesia for procedure on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1472,Anesthesia for procedure to repair calf muscle tendon,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1474,Anesthesia for procedure to repair calf muscle,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1480,"Anesthesia for open procedure on bones of lower leg, ankle and foot",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1482,Anesthesia for open amputation below the knee,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1484,"Anesthesia for open reconstruction of lower leg, ankle, and/or foot bone",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1486,Anesthesia for open total ankle joint replacement,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1490,"Anesthesia for lower leg cast application, removal, or repair",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1610,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of shoulder and underarm",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1620,Anesthesia for closed procedure on upper arm bone and shoulder joint,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1622,Anesthesia for diagnostic examination of shoulder joint using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1630,Anesthesia for open or endoscopic procedure at upper arm and shoulder joint including,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1634,Anesthesia for open or endoscopic procedure of dislocated shoulder joint,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1636,"Anesthesia for open or endoscopic amputation of arm, shoulder blade, and collar bone",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1638,Anesthesia for open or endoscopic total shoulder joint replacement,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1680,"Anesthesia for cast application, removal or repair",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1682,"Anesthesia for shoulder spica cast application, removal or repair",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1710,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of upper arm and elbow",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1712,Anesthesia for open incision of elbow to shoulder tendon,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1714,Anesthesia for repair of elbow to shoulder tendon,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1716,Anesthesia for suture of upper arm and elbow tendon to bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1730,Anesthesia for closed procedure on upper arm and elbow,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1732,Anesthesia for diagnostic examination of elbow joint using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1740,Anesthesia for open or endoscopic procedure on elbow,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1742,Anesthesia for open or endoscopic procedure at upper arm bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1744,Anesthesia for open or endoscopic repair of non-healed fracture of upper arm bone,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1756,Anesthesia for open or endoscopic surgical procedure on elbow,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1758,Anesthesia for open or endoscopic removal cyst or tumor of upper arm,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1760,Anesthesia for open or endoscopic total elbow joint replacement,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1770,Anesthesia for procedure on arteries of upper arm and elbow,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1810,"Anesthesia for procedure on nerves, muscles, tendons, fascia, and bursae of forearm, wrist, and hand",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1820,"Anesthesia for closed procedure on bones of forearm, wrist, or hand",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1829,Anesthesia for diagnostic examination of the wrist using an endoscope,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1830,"Anesthesia for open or endoscopic procedure on bones of forearm, wrist, or hand",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1832,Anesthesia for open or endoscopic total wrist joint replacement,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1860,"Anesthesia for forearm, wrist, or hand cast application, removal or repair",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1916,Anesthesia for diagnostic X-ray procedure on arteries or veins,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1924,Anesthesia for X-ray procedure on arteries,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1925,Anesthesia for X-ray procedure on neck or heart artery,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1926,"Anesthesia for X-ray procedure on artery in brain, heart, or major vessel of chest (aorta)",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1930,Anesthesia for X-ray procedure on vein or lymph system,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1931,Anesthesia for X-ray procedure on liver vein,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1932,Anesthesia for X-ray procedure on chest or neck vein,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1933,Anesthesia for X-ray procedure on brain vein,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1935,Anesthesia for diagnostic X-ray procedure (accessed through the skin) on spine and spinal cord,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1936,Anesthesia for X-ray procedure (accessed through the skin) on spine and spinal cord,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1991,Anesthesia for nerve block and injection procedure,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1992,"Anesthesia for nerve block and injection procedure, prone position",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1996,Daily hospital management of continuous spinal drug administration,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
1999,Anesthesia procedure,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
31500,"Intubation (Intravenous Anaesthesia) /LMA /Mask -- (Inhalational Anaesthesia)
 /Mechanical Ventilation",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
62320,Epidural Anesthesia,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
62273,Epidural Patch,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64400,"Injection of anesthetic agent, trigeminal nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64402,"Injection of anesthetic agent, facial nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64405,"Injection of anesthetic agent, greater occipital nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64408,"Injection of anesthetic agent, cranial (vagus) nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64410,"Injection of anesthetic agent, upper spine (phrenic) nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64413,"Injection of anesthetic agent, neck nerve bundle",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64415,"Injection of anesthetic agent, brachial (arm) nerve bundle",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64416,"Injection by continuous infusion of anesthetic agent, brachial (arm) nerve bundle",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64417,Injection of anesthetic agent underarm (axillary) nerve,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
64418,"Injection of anesthetic agent, collar bone nerve",Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
36556,Insertion of central venous catheter for infusion,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
43753,NGT insertion,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
76937,Intravenous placement USS Guided,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
99152,Sedation without Respiratory support - Above 5yrs,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
99151,Sedation without Respiratory support - Under 5yrs,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
96366,IV Side Injection,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
93503,Continuous invasive CVP monitoring,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
96368,Continuous Drug infusions -Inotropes/Vasoactive drugs,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
92960,Defibrilation/Elective Cardioversion / Electrocardioversion (Resursitative Defibrillation procedure),Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
94660,Non Invasive mechanical ventilation (CPAP),Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
36620,Continuous invasive Arterial Blood Pressure (ABP) monitoring,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
530,Anesthesia for insertion of permanent heart pacemaker,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
534,Anesthesia for insertion or replace of pacing heart defibrillator,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
537,Anesthesia for procedure on heart to correct abnormal rhythm,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
539,Anesthesia for reconstruction of windpipe and lung airway,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
540,Anesthesia for procedure in chest,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
541,Anesthesia for procedure in chest with 1 lung ventilation,Anesthesia,ACUTE/CHRONIC AND INTENSIVE CARE SERVICES
